objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
phys_001,,Pattern of a Lifeline,Maddy Casey,06-18-2024,"In this project, creator Maddy Casey explores the theme of inheritance by converting data about the lives and interests of three generations of women in her family into a prototype-sized skirt. The under-layer is a crinoline made of wire- the degree to which the wire extends from the skirt corresponds to emotionally difficult life experiences. The top layer maps each persons’ interests and hobbies over the course of their lives using different colored ribbon. The data for the project was collected through personal reflection and conversation, and the materials and techniques used are fabric, jewelry-grade wire, and sewing.",data art; data physicalization; Genealogy--Data processing; Sewing in art; Personal Identity,"300 Fraser Purchase Rd, Latrobe, PA 15650",40.29361103,-79.40777638,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,compound_object,,,,,
phys_006,phys_001,Pattern of a Lifeline- Project on Bear model,Maddy Casey,06-18-2024,"In this project, creator Maddy Casey explores the theme of inheritance by converting data about the lives and interests of three generations of women in her family into a prototype-sized skirt. The under-layer is a crinoline made of wire- the degree to which the wire extends from the skirt corresponds to emotionally difficult life experiences. The top layer maps each persons’ interests and hobbies over the course of their lives using different colored ribbon. The data for the project was collected through personal reflection and conversation, and the materials and techniques used are fabric, jewelry-grade wire, and sewing.",data art; data physicalization; Genealogy--Data processing; Sewing in art; Personal Identity,"300 Fraser Purchase Rd, Latrobe, PA 15650",40.29361103,-79.40777638,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/skirt1.jpg,/objects/small/skirt1_sm.jpg,/objects/thumbs/skirt1_th.jpg,a small brown stuffed bear wearing a blue skirt. the skirt is decorated with layers of ribbon,
phys_007,phys_001,Pattern of a Lifeline- Top Layer (in progress),Maddy Casey,06-18-2024,"In this project, creator Maddy Casey explores the theme of inheritance by converting data about the lives and interests of three generations of women in her family into a prototype-sized skirt. The under-layer is a crinoline made of wire- the degree to which the wire extends from the skirt corresponds to emotionally difficult life experiences. The top layer maps each persons’ interests and hobbies over the course of their lives using different colored ribbon. The data for the project was collected through personal reflection and conversation, and the materials and techniques used are fabric, jewelry-grade wire, and sewing.",data art; data physicalization; Genealogy--Data processing; Sewing in art; Personal Identity,"300 Fraser Purchase Rd, Latrobe, PA 15650",40.29361103,-79.40777638,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/skirt2.jpg,/objects/small/skirt2_sm.jpg,/objects/thumbs/skirt2_th.jpg,"Overhead view of the top layer of a skirt- several layers of patterned ribbon are pinned on to the surface of the skirt in three sections- the first begins at the first seam of the skirt and extends toward the other seam, the second begins in the middle of the skirt. The final section begins quite close to the closing seam of the skirt.",
phys_008,phys_001,"Pattern of a Lifeline- ""Trauma Crinoline""",Maddy Casey,06-18-2024,"In this project, creator Maddy Casey explores the theme of inheritance by converting data about the lives and interests of three generations of women in her family into a prototype-sized skirt. The under-layer is a crinoline made of wire- the degree to which the wire extends from the skirt corresponds to emotionally difficult life experiences. The top layer maps each persons’ interests and hobbies over the course of their lives using different colored ribbon. The data for the project was collected through personal reflection and conversation, and the materials and techniques used are fabric, jewelry-grade wire, and sewing.",data art; data physicalization; Genealogy--Data processing; Sewing in art; Personal Identity,"300 Fraser Purchase Rd, Latrobe, PA 15650",40.29361103,-79.40777638,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/skirt3.jpg,/objects/small/skirt3_sm.jpg,/objects/thumbs/skirt3_th.jpg,"A small, four layered crinoline.  gold curving wire is tacked on to the bottom three layers of the skirt the wire protrudes from the skirt in jutting wavy patterns which differ slightly at each layer.",
phys_002,,NYC’s Tree Canopy Inequality,Alison Long,06-18-2024,"In this project, creator Alison Long expresses data about the unequal distribution of a tree canopy across New York City's five boroughs through a sculpture made of stretched fabric. The project uses data from the 2015 NYC tree census and population data from the 2020 U.S. census.  The scale of each piece of fabric represents the proportion of the city's tree canopy that covers each corresponding borough.",data art; data physicalization; Trees in cities; Climate justice; Sustainable urban development,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,compound_object,,,,,
phys_009,phys_002,NYC’s Tree Canopy Inequality,Alison Long,06-18-2024,"In this project, creator Alison Long expresses data about the unequal distribution of a tree canopy across New York City's five boroughs through a sculpture made of stretched fabric. The project uses data from the 2015 NYC tree census and population data from the 2020 U.S. census.  The scale of each piece of fabric represents the proportion of the city's tree canopy that covers each corresponding borough.",data art; data physicalization; Trees in cities; Climate justice; Sustainable urban development,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/tree1.jpg,/objects/small/tree1_sm.jpg,/objects/thumbs/tree1_th.jpg,cross section view of five pieces of triangular blue mesh fabric stretched aross a cylindrical frame.  The sizes of the five pieces vary slightly.,
phys_010,phys_002,NYC’s Tree Canopy Inequality,Alison Long,06-18-2024,"In this project, creator Alison Long expresses data about the unequal distribution of a tree canopy across New York City's five boroughs through a sculpture made of stretched fabric. The project uses data from the 2015 NYC tree census and population data from the 2020 U.S. census.  The scale of each piece of fabric represents the proportion of the city's tree canopy that covers each corresponding borough.",data art; data physicalization; Trees in cities; Climate justice; Sustainable urban development,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/tree2.jpg,/objects/small/tree2_sm.jpg,/objects/thumbs/tree2_th.jpg,zoomed out view of five pieces of triangular blue mesh fabric stretched aross a cylindrical frame.  The sizes of the five pieces vary slightly.,
phys_011,phys_002,NYC’s Tree Canopy Inequality,Alison Long,06-18-2024,"In this project, creator Alison Long expresses data about the unequal distribution of a tree canopy across New York City's five boroughs through a sculpture made of stretched fabric. The project uses data from the 2015 NYC tree census and population data from the 2020 U.S. census.  The scale of each piece of fabric represents the proportion of the city's tree canopy that covers each corresponding borough.",data art; data physicalization; Trees in cities; Climate justice; Sustainable urban development,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/tree3.jpg,/objects/small/tree3_sm.jpg,/objects/thumbs/tree3_th.jpg,zoomed in image of triangular blue mesh fabric- the mesh nature of the fabric makes it possible to see through the overlapping views of the fabric.,
phys_012,phys_002,NYC’s Tree Canopy Inequality,Alison Long,06-18-2024,"In this project, creator Alison Long expresses data about the unequal distribution of a tree canopy across New York City's five boroughs through a sculpture made of stretched fabric. The project uses data from the 2015 NYC tree census and population data from the 2020 U.S. census.  The scale of each piece of fabric represents the proportion of the city's tree canopy that covers each corresponding borough.",data art; data physicalization; Trees in cities; Climate justice; Sustainable urban development,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/tree4.jpg,/objects/small/tree4_sm.jpg,/objects/thumbs/tree4_th.jpg,overhead view of five pieces of triangular blue mesh fabric stretched aross a cylindrical frame.  The pieces overlap and are interconnected- their size and the ways in which the fabric pieces are stretched and pulled differ slightly.,
phys_003,,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,compound_object,,,,,
phys_013,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam1.jpg,/objects/small/clam1_sm.jpg,/objects/thumbs/clam1_th.jpg,a puffy white and pink clam sculpture with several protrusions held on a hand,
phys_014,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam2.jpg,/objects/small/clam2_sm.jpg,/objects/thumbs/clam2_th.jpg,a puffy white and pink clam sculpture with several protrusions held on a hand,
phys_015,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam3.jpg,/objects/small/clam3_sm.jpg,/objects/thumbs/clam3_th.jpg,interior of a clam sculpture featuring pink and red way sculptural pieces pearl shapes and a pattern of bumpy protrusions,
phys_016,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam4.jpg,/objects/small/clam4_sm.jpg,/objects/thumbs/clam4_th.jpg,interior of a clam sculpture featuring pink and red way sculptural pieces pearl shapes and a pattern of bumpy protrusions,
